"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"04/16/2023","AQS","010730023","4","13","ug/m3 SC","12","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/17/2023","AQS","010730023","4","20","ug/m3 SC","19","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/18/2023","AQS","010730023","4","50","ug/m3 SC","46","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/19/2023","AQS","010730023","4","51","ug/m3 SC","47","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/20/2023","AQS","010730023","4","51","ug/m3 SC","47","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/21/2023","AQS","010730023","4","32","ug/m3 SC","30","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/22/2023","AQS","010730023","4","15","ug/m3 SC","14","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/23/2023","AQS","010730023","4","15","ug/m3 SC","14","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/24/2023","AQS","010730023","4","18","ug/m3 SC","17","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/25/2023","AQS","010730023","4","26","ug/m3 SC","24","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/26/2023","AQS","010730023","4","29","ug/m3 SC","27","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/27/2023","AQS","010730023","4","16","ug/m3 SC","15","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
"04/28/2023","AQS","010730023","4","18","ug/m3 SC","17","North Birmingham","1","100.0000","81102","PM10 Total 0-10um STP","639","13820","Birmingham-Hoover, AL","01","Alabama","073","Jefferson","33.5530560008695","-86.815"
